Tên,Giá,Công nghệ CPU,Số nhân,Số luồng,Tốc độ CPU,Tốc độ tối đa,Bộ nhớ đệm,RAM,Loại RAM,Tốc độ Bus RAM,Hỗ trợ RAM tối đa,Ổ cứng,Màn hình,Độ phân giải,Tần số quét,Công nghệ màn hình,Màn hình cảm ứng,Card màn hình,Công nghệ âm thanh,Cổng giao tiếp,Kết nối không dây,Khe đọc thẻ nhớ,Webcam,Tính năng khác,Đèn bàn phím,"Kích thước, trọng lượng",Chất liệu,Thông tin Pin,Hệ điều hành,Thời điểm ra mắt
Laptop Asus VivoBook X515EA i3 1115G4/4GB/256GB/Win10 (BQ994T),13.890.000₫,Intel Core i3 Tiger Lake - 1115G4,2,4,3.00 GHz,Turbo Boost 4.1 GHz,6 MB,4 GB,DDR4 (On board +1 khe),3200 MHz,20 GB,"Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB) 256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",15.6 inch,Full HD (1920 x 1080),60 Hz,"250 nits
Chống chói Anti Glare
LED Backlit
Tấm nền IPS",,Card tích hợp - Intel UHD Graphics,SonicMaster audio,"1 x USB 3.2
2 x USB 2.0
HDMI
Jack tai nghe 3.5 mm
USB Type-C",Bluetooth 4.1 Wi-Fi 802.11 a/b/g/n/ac,,VGA Webcam,Bảo mật vân tay,Không có đèn,Dài 360.2 mm - Rộng 234.9 mm - Dày 19.9 mm - Nặng 1.8 kg,Vỏ nhựa,"2-cell Li-ion, 37 Wh",Windows 10 Home SL,2021
Laptop HP 340s G7 i3 1005G1/4GB/512GB/Win10 (224L1PA),13.890.000₫,Intel Core i3 Ice Lake - 1005G1,,,1.20 GHz,Turbo Boost 3.4 GHz,,4 GB,DDR4 (2 khe),2666 MHz,16 GB,512 GB SSD NVMe PCIe,14 inch,Full HD (1920 x 1080),,"60Hz
Chống chói Anti Glare
Tấm nền IPS",,Card tích hợp - Intel UHD Graphics,Realtek High Definition Audio Loa kép (2 kênh),"2 x USB 3.1
HDMI
USB Type-C",Bluetooth 5.0 Wi-Fi 802.11 a/b/g/n/ac,SD,HD webcam,Bảo mật vân tay,Không có đèn,Dài 324 mm - Rộng 225 mm - Dày 17.9 mm - Nặng 1.346 kg,Vỏ nhựa,3-cell Li-ion,Windows 10 Home SL,2020
Laptop Asus VivoBook X415EA i3 1115G4/4GB/512GB/Win10 (EB638T),13.790.000₫,Intel Core i3 Tiger Lake - 1115G4,2,4,3.00 GHz,Turbo Boost 4.1 GHz,6 MB,4 GB,DDR4 (On board 4GB +1 khe rời),3200 MHz,20 GB,Hỗ trợ khe cắm HDD SATA 512 GB SSD NVMe PCIe,14 inch,Full HD (1920 x 1080),,"250 nits
60Hz
Chống chói Anti Glare
LED Backlit",,Card tích hợp - Intel UHD Graphics,SonicMaster audio,"1 x USB 3.2
2 x USB 2.0
HDMI
Jack tai nghe 3.5 mm
USB Type-C",Bluetooth 4.1 Wi-Fi 802.11 a/b/g/n/ac,,VGA Webcam,Bảo mật vân tay,Không có đèn,Dài 325.4 mm - Rộng 216 mm - Dày 19.9 mm - Nặng 1.55 kg,Vỏ nhựa,"2-cell Li-ion, 37 Wh",Windows 10 Home SL,2020
Laptop Lenovo Ideapad 3 14IML05 i3 10110U/8GB/256GB/Win10 (81WA00HPVN),13.490.000₫ *,Intel Core i3 Comet Lake - 10110U,2,4,2.10 GHz,Turbo Boost 4.1 GHz,4 MB,8 GB,DDR4 (On board 4GB +1 khe 4GB),2666 MHz,12 GB,256 GB SSD NVMe PCIe Hỗ trợ khe cắm HDD SATA,14 inch,Full HD (1920 x 1080),60 Hz,"250 nits
Tấm nền IPS
Chống chói Anti Glare",,Card tích hợp - Intel UHD Graphics,High Definition (HD) Audio Dolby Audio,"Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
USB 2.0",Bluetooth 5.0 Wi-Fi 802.11 a/b/g/n/ac,SD,HD webcam,Bản lề mở 180 độ Công tắc khóa camera,Không có đèn,Dài 327.1 mm - Rộng 241 mm - Dày 19.9 mm - Nặng 1.5 kg,Vỏ nhựa,"2-cell Li-ion, 35 Wh",Windows 10 Home SL,2020
Laptop HP 240 G8 i3 1005G1/4GB/256GB/Win10 (342G5PA),12.590.000₫,Intel Core i3 Ice Lake - 1005G1,2,4,1.20 GHz,Turbo Boost 3.4 GHz,4 MB,4 GB,DDR4 (2 khe),2666 MHz,16 GB,256 GB SSD NVMe PCIe,14 inch,Full HD (1920 x 1080),60 Hz,"250 nits
Chống chói Anti Glare
Tấm nền IPS",,Card tích hợp - Intel UHD Graphics,Stereo speakers,"2x SuperSpeed USB A
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB Type-C",Bluetooth 4.2 Wi-Fi 802.11 a/b/g/n/ac,SD,HD webcam,TPM 2.0,Không có đèn,Dài 324 mm - Rộng 225.9 mm - Dày 19.9 mm - Nặng 1.47 kg,Vỏ nhựa,"3-cell Li-ion, 41 Wh",Windows 10 Home SL,2020
Laptop HP 15s du1105TU i3 10110U/4GB/256GB/Win11 (2Z6L3PA),12.490.000₫,Intel Core i3 Comet Lake - 10110U,2,4,2.10 GHz,Turbo Boost 4.1 GHz,4 MB,4 GB,DDR4 2 khe (1 khe 4GB + 1 khe rời),2666 MHz,32 GB,256 GB SSD NVMe PCIe Hỗ trợ khe cắm HDD SATA,15.6 inch,HD (1366 x 768),60 Hz,"220 nits
LED Backlit
SVA",,Card tích hợp - Intel UHD Graphics,Stereo speakers,"2x SuperSpeed USB A
HDMI
USB Type-C",Bluetooth 4.2 Wi-Fi 802.11 a/b/g/n/ac,SD,HD webcam,,Không có đèn,Dài 358.5 mm - Rộng 242 mm - Dày 19.9 mm - Nặng 1.78 kg,Vỏ nhựa,"3-cell Li-ion, 41 Wh",Windows 11 Home SL,2021
Laptop HP 240 G8 i3 1005G1/4GB/256GB/Win10 (519A4PA),11.890.000₫,Intel Core i3 Ice Lake - 1005G1,2,4,1.20 GHz,Turbo Boost 3.4 GHz,4 MB,4 GB,DDR4 2 khe (1 khe 4GB + 1 khe rời),3200 MHz,32 GB,"Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB) 256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",14 inch,HD (1366 x 768),60 Hz,250 nits Chống chói Anti Glare,,Card tích hợp - Intel UHD Graphics,Stereo speakers,"2x SuperSpeed USB A
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB Type-C",Bluetooth 4.2 Wi-Fi 802.11 a/b/g/n/ac,SD,HD webcam,TPM 2.0,Không có đèn,Dài 324 mm - Rộng 225.9 mm - Dày 19.9 mm - Nặng 1.47 kg,Vỏ nhựa,"3-cell Li-ion, 41 Wh",Windows 10 Home SL,2021
Laptop HP 240 G8 i3 1005G1/4GB/256GB/Win10 (519A4PA),11.890.000₫,Intel Core i3 Ice Lake - 1005G1,2,4,1.20 GHz,Turbo Boost 3.4 GHz,4 MB,4 GB,DDR4 2 khe (1 khe 4GB + 1 khe rời),3200 MHz,32 GB,"Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB) 256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",14 inch,HD (1366 x 768),60 Hz,250 nits Chống chói Anti Glare,,Card tích hợp - Intel UHD Graphics,Stereo speakers,"2x SuperSpeed USB A
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB Type-C",Bluetooth 4.2 Wi-Fi 802.11 a/b/g/n/ac,SD,HD webcam,TPM 2.0,Không có đèn,Dài 324 mm - Rộng 225.9 mm - Dày 19.9 mm - Nặng 1.47 kg,Vỏ nhựa,"3-cell Li-ion, 41 Wh",Windows 10 Home SL,2021
Laptop HP 14s fq1080AU R3 5300U/4GB/256GB/Win10 (4K0Z7PA),10.890.000₫,AMD Ryzen 3 - 5300U,4,8,2.60 GHz,Turbo Boost 3.8 GHz,4 MB,4 GB,DDR4 2 khe (1 khe 4GB + 1 khe rời),3200 MHz,16 GB,"Không hỗ trợ khe cắm HDD
Không hỗ trợ khe cắm SSD M2 mở rộng thêm
256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",14 inch,HD (1366 x 768),60 Hz,SVA,,Card tích hợp - AMD Radeon Graphics,Loa kép (2 kênh),"2x SuperSpeed USB A
HDMI
Jack tai nghe 3.5 mm
USB Type-C",Bluetooth 4.2 Wi-Fi 802.11 a/b/g/n/ac,SD,HD webcam,,Không có đèn,Dài 324 mm - Rộng 225 mm - Dày 17.9 mm - Nặng 1.47 kg,Vỏ nhựa,"3-cell Li-ion, 41 Wh",Windows 10 Home SL,2021
Laptop Acer Aspire 3 A314 35 P6JF N6000/4GB/512GB/Win10 (NX.A7SSV.003),9.590.000₫,Intel Pentium - N6000,4,4,1.10 GHz,3.33 GHz,4 MB,4 GB,DDR4 (2 khe),2400 MHz,16 GB,512 GB SSD NVMe PCIe Hỗ trợ khe cắm HDD SATA,14 inch,HD (1366 x 768),60 Hz,"TFT
LED Backlit
Acer ComfyView",,Card tích hợp - Intel UHD Graphics,Stereo speakers,"Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
LAN (RJ45)
USB 2.0",Bluetooth 5.0 Wi-Fi 802.11 a/b/g/n/ac,,VGA Webcam,,Không có đèn,Dài 328 mm - Rộng 236 mm - Dày 19.9 mm - Nặng 1.45 kg,Vỏ nhựa,"Li-ion, 36 Wh",Windows 10 Home SL,2020
Laptop Acer Aspire 3 A315 34 P8VA N5030/4GB/256GB//Win10 (NX.HE3SV.00N),8.490.000₫,Intel Pentium - N5030,4,4,1.10 GHz,3.1 GHz,4 MB,4 GB,DDR4 (On board 4GB +1 khe rời),2666 MHz,8 GB,256 GB SSD NVMe PCIe Hỗ trợ khe cắm HDD SATA,15.6 inch,Full HD (1920 x 1080),60 Hz,Acer ComfyView,,Card tích hợp - Intel UHD Graphics 605,Stereo speakers,"LAN (RJ45)
USB 3.1
HDMI
2 x USB 2.0
Jack tai nghe 3.5 mm",Bluetooth 5.0 Wi-Fi 802.11 a/b/g/n/ac,,VGA Webcam,Bản lề mở 180 độ,Không có đèn,Dài 363.4 mm - Rộng 247.5 mm - Dày 19.9 mm - Nặng 1.7 kg,Vỏ nhựa,"2-cell Li-ion, 37 Wh",Windows 10 Home SL,2020
